gesture_recognition_mem.committed_Committed_AS,gesture_recognition_system.active_processes_active,gesture_recognition_system.cpu_user,gesture_recognition_system.file_nr_used_used,gesture_recognition_system.processes_running,gesture_recognition_system.ram_buffers,gesture_recognition_system.ram_cached,gesture_recognition_system.ram_free,gesture_recognition_system.ram_used,Target
26594.26,1588,10.402685,14816,7,31.10938,1797.613,440.3477,4522.023,5
26582.87,1587,9.671993,14816,5,31.10938,1798.168,438.3398,4523.477,5
26599.47,1587,9.76431,14816,3,31.10938,1798.168,435.4023,4526.414,5
26852.46,1586,10.22632,14848,3,31.22656,1798.699,432.125,4529.043,5
26599.47,1585,10.15953,14848,16,31.22656,1798.699,441.5195,4519.648,5
26580.12,1581,9.2827,14816,4,31.22656,1798.703,439.0391,4522.125,5
26580.12,1581,9.535865,14816,4,31.22656,1798.703,448.4453,4512.719,5
26580.18,1581,8.655462,14816,4,31.22656,1798.703,447.043,4514.121,5
26580.0,1581,7.251265,14784,5,31.23438,1799.016,453.6875,4507.156,5
26581.88,1582,7.360406,14752,5,31.23438,1799.016,449.1992,4511.645,5
26584.21,1583,7.185123,14784,5,31.23438,1799.02,447.6133,4513.227,5
26598.8,1586,7.191201,14848,4,31.23438,1799.211,445.0781,4515.57,5
26848.34,1586,12.489307,14848,4,31.59375,1799.848,410.7891,4548.863,5
26603.89,1586,10.042553,14816,5,31.59375,1799.984,438.0391,4521.477,5
26591.45,1585,11.809686,14816,5,31.59375,1799.984,423.2773,4536.238,5
26612.45,1583,10.245555,14848,4,31.59375,1799.984,428.4844,4531.031,5
26592.96,1583,7.575758,14816,6,31.59375,1799.984,439.1328,4520.383,5
26598.58,1583,9.50764,14816,3,31.60156,1799.988,407.7383,4551.766,5
26862.2,1585,19.66102,14848,15,31.60156,1799.988,374.0352,4585.469,5
26598.44,1583,20.96774,14784,19,31.61328,1800.012,386.6094,4572.859,5
26603.72,1583,11.993243,14784,5,31.61328,1800.012,378.6094,4580.859,5
26605.61,1584,18.44332,14720,4,31.61328,1800.031,356.1406,4603.309,5
26603.82,1583,16.426757,14752,5,31.62109,1800.047,367.5234,4591.902,5
26603.83,1583,19.84861,14784,5,31.62109,1800.047,355.0039,4604.422,5
26605.55,1584,12.384162,14816,7,31.62109,1800.047,358.9219,4600.504,5
26636.06,1584,12.468408,14880,5,31.62109,1800.051,334.2891,4625.133,5
26603.93,1584,15.851602,14848,5,31.62891,1800.059,322.8047,4636.602,5
26603.93,1583,10.998308,14848,4,31.62891,1800.062,352.3633,4607.039,5
26603.69,1583,9.797297,14848,5,31.62891,1800.062,345.2812,4614.121,5
26597.66,1583,9.312081,14848,3,31.64062,1800.062,367.0195,4592.371,5
26595.89,1583,11.600339,14848,3,31.77734,1800.582,357.1133,4601.621,5
26689.43,1589,11.844332,14816,5,31.77734,1800.582,346.2852,4612.449,5
26598.1,1583,28.74049,14784,6,31.90234,1800.992,327.5938,4630.605,5
26598.1,1583,10.508475,14784,5,31.90234,1800.992,360.7109,4597.488,5
26600.2,1584,10.687023,14816,12,31.90234,1800.996,345.9258,4612.27,5
26598.36,1582,20.06832,14816,6,31.92188,1801.027,318.6797,4639.465,5
26598.36,1582,18.72852,14784,5,31.92188,1801.062,289.7461,4668.363,5
26852.58,1583,14.334764,14784,5,31.92188,1801.062,329.7383,4628.371,5
26599.67,1582,24.91438,14784,8,31.92188,1801.098,295.3086,4662.766,5
26597.87,1583,15.128205,14816,5,31.92188,1801.098,321.3359,4636.738,5
26853.92,1583,12.350937,14816,4,31.92969,1801.152,321.1133,4636.898,5
26605.1,1583,14.893617,14816,5,31.92969,1801.152,317.7461,4640.266,5
26602.04,1583,7.304786,14848,3,31.92969,1801.152,321.1328,4636.879,5
26592.25,1583,7.478992,14848,3,31.92969,1801.152,319.4961,4638.516,5
26598.55,1582,9.329941,14784,4,31.92969,1801.152,327.4922,4630.52,5
26602.96,1582,12.995781,14784,7,31.9375,1801.152,281.4531,4676.551,5
26852.55,1582,21.6399,14816,4,31.94922,1801.199,289.8008,4668.145,5
26602.71,1582,23.75317,14816,6,31.94922,1801.199,299.6133,4658.332,5
