object_detection_mem.committed_Committed_AS,object_detection_system.active_processes_active,object_detection_system.cpu_user,object_detection_system.file_nr_used_used,object_detection_system.processes_running,object_detection_system.ram_buffers,object_detection_system.ram_cached,object_detection_system.ram_free,object_detection_system.ram_used,Target
24244.43,1691,7.401177,15244,2,46.5,2000.539,323.3828,4420.676,0
24244.43,1691,8.915055,15244,2,46.50781,2000.539,321.9062,4422.145,0
24244.43,1691,9.037657,15212,2,46.50781,2000.539,314.4023,4429.648,0
24244.43,1691,8.83095,15212,2,46.50781,2000.539,309.3086,4434.742,0
24247.5,1691,9.014322,15212,3,46.50781,2000.664,311.2539,4432.672,0
24247.5,1690,8.487395,15244,14,46.50781,2000.664,312.6133,4431.312,0
24244.29,1691,9.519798,15244,2,46.51562,2000.664,316.6562,4427.262,0
24527.75,1691,11.336717,15276,3,46.51562,2000.664,290.3828,4453.535,0
24302.11,1691,18.04384,15244,1,46.51562,2000.664,235.2734,4508.645,0
24302.18,1691,8.192568,15276,2,46.69531,2001.023,213.0859,4530.293,0
24349.69,1692,13.605442,15244,3,46.49219,1999.121,236.9141,4508.57,0
24291.19,1691,7.828283,15244,1,46.49219,1999.121,244.2148,4501.27,0
24291.05,1691,12.023709,15244,2,46.28516,1996.297,333.6836,4414.832,0
24202.48,1693,11.949153,15244,4,46.28516,1996.297,335.1445,4413.371,0
24267.57,1692,12.679628,15148,1,45.86719,1991.559,481.3164,4272.355,0
24265.13,1692,9.696459,15180,1,45.88281,1992.008,428.7344,4324.473,0
24263.8,1693,12.531753,15180,3,45.92188,1992.008,420.0703,4333.098,0
24248.81,1692,12.341505,15212,2,45.92188,1992.008,433.7773,4319.391,0
24243.02,1692,9.754029,15212,2,45.92188,1992.008,436.4414,4316.727,0
24396.43,1693,9.882747,15212,3,45.93359,1992.031,419.8672,4333.266,0
24240.46,1693,8.326325,15212,2,45.94922,1992.027,431.3945,4321.727,0
24242.53,1693,8.35443,15244,2,45.94922,1992.027,433.1562,4319.965,0
24240.4,1693,8.256108,15244,2,45.94922,1992.027,441.3672,4311.754,0
