face_detection_mem.committed_Committed_AS,face_detection_system.active_processes_active,face_detection_system.cpu_user,face_detection_system.file_nr_used_used,face_detection_system.processes_running,face_detection_system.ram_buffers,face_detection_system.ram_cached,face_detection_system.ram_free,face_detection_system.ram_used,Target
24918.02,1660.0,16.186441,14710.0,5.0,71.75781,1708.762,679.9922,4330.586,4
24874.59,1660.0,15.691264,14646.0,3.0,71.76172,1709.113,579.9883,4430.234,4
25051.16,1658.0,8.975445,14678.0,4.0,71.77344,1709.883,571.6133,4437.828,4
24891.62,1659.0,13.254036,14678.0,7.0,71.78125,1709.898,576.1719,4433.246,4
24880.36,1660.0,23.116,14646.0,9.0,71.91406,1709.906,543.0547,4466.223,4
24873.67,1658.0,5.743243,14646.0,4.0,71.91406,1710.062,582.7344,4426.387,4
24873.91,1658.0,6.949153,14678.0,8.0,71.94531,1710.227,605.8359,4403.09,4
24874.07,1658.0,5.91716,14710.0,3.0,71.94531,1710.23,631.7422,4377.18,4
24874.07,1658.0,4.978903,14710.0,7.0,71.94531,1710.234,625.4062,4383.512,4
24878.01,1659.0,8.213378,14710.0,7.0,71.94531,1717.531,584.9219,4416.699,4
24988.61,1666.0,9.290541,14678.0,4.0,71.94922,1717.602,586.9766,4414.57,4
24878.26,1659.0,8.905852,14646.0,7.0,71.97656,1717.602,591.1328,4410.387,4
25131.98,1659.0,19.96616,14646.0,16.0,71.97656,1717.867,623.7148,4377.539,4
24876.55,1658.0,6.086221,14646.0,1.0,71.98438,1717.941,639.2109,4361.961,4
24876.55,1658.0,5.249788,14678.0,2.0,71.98438,1717.996,651.7734,4349.344,4
24861.39,1658.0,5.564924,14678.0,2.0,71.98438,1717.996,669.207,4331.91,4
24864.18,1658.0,7.54877,14646.0,1.0,71.98438,1718.0,655.4844,4345.629,4
24861.47,1659.0,10.989011,14646.0,20.0,71.98828,1718.0,674.8711,4326.238,4
24907.93,1658.0,20.94996,14678.0,4.0,72.01172,1718.016,586.1445,4414.926,4
25179.7,1660.0,14.358539,14742.0,8.0,72.01562,1718.023,594.4336,4406.625,4
