hand_landmarking_mem.committed_Committed_AS,hand_landmarking_system.active_processes_active,hand_landmarking_system.cpu_user,hand_landmarking_system.file_nr_used_used,hand_landmarking_system.processes_running,hand_landmarking_system.ram_buffers,hand_landmarking_system.ram_cached,hand_landmarking_system.ram_free,hand_landmarking_system.ram_used,Target
30637.58,1657,8.501684000000001,15221,5,63.84375,1966.449,168.9375,4603.426,3
30644.93,1658,10.160881,15189,6,63.84375,1966.457,157.375,4603.895,3
30644.91,1657,12.010221,15189,4,63.84375,1966.617,156.90625,4610.641,3
30674.79,1657,8.171862,15189,3,63.85156,1966.629,150.15234,4646.117,3
30644.91,1659,9.52381,15189,4,63.85156,1966.629,114.51562,4641.246,3
30635.13,1659,12.07483,15221,3,63.85156,1966.629,119.36719,4649.133,3
30635.15,1659,9.966216,15253,6,63.85156,1966.629,111.48047,4643.965,3
30683.82,1659,8.108108,15253,5,63.85156,1966.633,116.64844,4642.035,3
30697.64,1653,8.898305,15253,6,62.55078,1901.422,118.57812,4646.254,3
30636.05,1654,8.340426,15221,7,62.32422,1815.973,114.35547,4610.633,3
30635.77,1654,11.505922,15221,6,62.32422,1816.137,216.4883,4602.402,3
30893.42,1652,26.38298,15221,8,62.32422,1816.148,310.3945,4610.633,3
30644.55,1652,25.53373,15253,17,62.34766,1816.152,302.0,4607.711,3
31336.71,1651,31.03741,15221,5,62.34766,1816.504,304.9102,4620.84,3
32059.77,1661,19.72556,15253,6,50.23438,1735.391,291.7539,4632.598,3
31324.49,1662,27.10843,15221,6,49.17578,1723.973,279.6445,4578.52,3
31325.53,1660,30.96055,15189,4,49.17578,1724.059,426.9492,4618.809,3
31322.03,1660,26.73522,15189,5,49.21484,1724.059,399.1367,4604.02,3
31311.02,1661,16.96658,15189,9,49.21484,1724.113,413.8398,4600.18,3
31311.8,1660,13.106383,15221,3,49.22656,1724.117,417.6406,4609.73,3
31309.48,1660,25.04244,15221,3,49.22656,1724.129,408.0352,4607.172,3
31309.78,1660,21.14575,15253,3,49.35156,1724.141,410.5781,4608.125,3
31341.08,1660,20.30586,15253,3,49.35938,1724.129,409.6133,4613.461,3
31310.2,1660,10.886076,15253,5,49.36719,1724.133,404.1406,4617.129,3
31312.02,1660,11.298482,15253,4,49.36719,1724.355,400.4766,4617.855,3
31313.73,1659,8.249158,15221,3,49.38281,1724.137,399.7383,4621.789,3
31315.96,1660,7.407407,15221,4,49.38281,1724.137,395.582,4626.559,3
31565.94,1659,10.260723,15221,6,49.38281,1724.137,391.0156,4614.344,3
31314.2,1660,15.046492,15221,4,49.39844,1724.086,403.2305,4635.488,3
31313.7,1659,11.214165,15221,4,49.39844,1724.09,382.0859,4629.836,3
31314.3,1659,15.436811,15189,5,49.39844,1724.047,387.7734,4636.496,3
31315.71,1660,14.817951,15189,6,49.39844,1724.387,381.1094,4644.035,3
31316.82,1659,9.129332,15189,3,45.38281,1694.711,373.6133,4641.52,3
31316.57,1662,12.991453,15189,4,45.39844,1694.668,375.7891,4577.039,3
31312.6,1660,13.760684,15189,4,45.41016,1694.676,473.9609,4597.891,3
31320.52,1659,25.42662,15189,3,45.41016,1694.676,453.1367,4600.117,3
31321.2,1660,8.677338,15189,5,45.41016,1694.691,450.8906,4602.727,3
31322.16,1659,10.677966,15189,4,45.41797,1694.707,448.2812,4620.125,3
31321.04,1659,10.347752,15189,3,45.41797,1694.695,430.8672,4617.91,3
31316.95,1660,12.236287,15189,5,45.42578,1694.707,433.0586,4614.383,3
31316.95,1659,23.72881,15189,4,45.44141,1694.629,436.5977,4618.57,3
31316.95,1659,11.63575,15221,15,45.44141,1694.629,432.3906,4628.047,3
31312.12,1659,9.680135,15221,16,45.44141,1694.734,422.9766,4628.949,3
32040.29,1658,10.025274,15221,15,45.45703,1694.832,422.0742,4636.555,3
31311.64,1660,8.158116,15221,18,45.46484,1694.801,414.3633,4633.391,3
31312.47,1658,9.848485,15221,18,45.46484,1694.801,417.4141,4635.301,3
31318.45,1659,8.684654,15189,16,45.47266,1694.824,415.5273,4631.504,3
31318.62,1661,7.407407,15189,19,45.48047,1694.824,419.3242,4630.797,3
31320.39,1662,7.594937,15125,17,45.48047,1694.828,420.0,4634.242,3
31316.54,1663,10.126582,15189,22,45.48047,1694.828,416.5469,4634.332,3
31314.73,1662,8.20643,15189,20,45.48047,1694.828,416.4531,4635.035,3
31565.31,1661,9.797297,15221,15,45.48047,1694.828,415.75,4631.523,3
31311.73,1663,7.504215999999999,15253,20,45.57812,1696.016,419.2617,4625.5,3
31314.15,1662,8.060453,15253,17,45.57812,1696.031,425.2852,4629.062,3
31314.14,1664,20.42017,15253,17,45.57812,1696.039,420.4375,4626.391,3
31311.95,1665,9.620253,15221,19,45.57812,1696.039,423.0938,4637.285,3
31321.14,1665,11.195286,15221,17,45.59375,1696.039,412.1914,4633.008,3
31319.05,1667,26.79628,15221,20,45.59375,1696.152,416.4688,4625.188,3
31319.01,1666,10.362258,15189,17,45.59375,1696.164,424.2734,4625.441,3
31319.49,1666,10.495382,15221,17,45.59375,1696.164,423.9062,4627.336,3
31314.82,1667,11.898734,15221,19,45.59375,1696.164,422.0,4642.902,3
31315.09,1665,10.961214,15189,18,45.60156,1696.402,406.4336,4644.379,3
31316.18,1665,11.639762,15189,17,45.60156,1696.543,404.957,4646.582,3
31326.98,1666,9.865093,15157,7,45.60938,1696.535,402.5078,4650.816,3
31339.54,1666,26.70648,15157,27,45.60938,1696.594,398.1328,4654.121,3
31334.24,1667,12.128923,15189,19,43.48047,1678.441,394.8281,4662.992,3
30660.46,1665,11.111111,15189,23,42.46484,1689.785,385.8984,4627.637,3
30660.27,1655,18.19728,15189,17,42.60547,1689.809,441.5352,4615.699,3
30663.84,1656,18.26758,15189,10,42.10156,1681.438,443.1445,4602.832,3
30661.55,1660,22.29846,15157,14,40.60938,1658.3594,455.8477,4551.98,3
30662.04,1658,17.88756,15157,24,40.10938,1648.0938,515.5742,4559.527,3
30672.29,1659,11.486486,15189,23,40.10938,1648.0273,532.5977,4500.512,3
30756.59,1660,20.85106,15285,11,40.26953,1657.3633,602.3789,4509.215,3
30666.48,1665,34.01187,15253,14,40.66016,1657.8086,593.7422,4521.148,3
30663.57,1660,27.0798,15253,14,40.66797,1657.8125,572.3125,4505.484,3
